Player,FantPos,Age,G,Fmb,PPR,VBD,ID
Blake Bell,TE,31,3,0,10.0,,BellBl00
Grant Calcaterra,TE,24,15,0,13.1,,CalcGr00
Chase Daniel,QB,36,4,0,8.5,,DaniCh00
Brandon Johnson,WR,24,7,1,14.2,,JohnBr23
Jaret Patterson,RB,23,3,0,7.8,,PattJa01
Nathan Peterman,QB,28,3,0,8.3,,PeteNa00
Andrew Beck,TE,26,13,0,11.9,,BeckAn01
D'Wayne Eskridge,WR,25,10,0,13.8,,EskrDW00
Tyler Mabry,TE,26,2,0,7.7,,MabrTy00
Tre' McKitty,TE,23,17,1,17.2,,McKiTr00
Ty Montgomery,WR,29,1,0,10.3,,MontTy01
Gunner Olszewski,WR,26,16,2,12.2,,OlszGu00
Freddie Swain,WR,24,4,1,11.4,,SwaiFr00
Ke'Shawn Vaughn,RB,25,15,0,10.2,,VaugKe00
Kevin White,WR,30,7,0,9.4,,WhitKe00
Zamir White,RB,23,14,0,7.0,,WhitZa01
Anthony Brown,QB,24,2,1,5.6,,BrowAn06
Jamison Crowder,WR,29,4,1,12.0,,CrowJa00
Jalen Guyton,WR,25,3,0,8.4,,GuytJa01
Tyler Kroft,TE,30,11,0,9.7,,KrofTy00
Jake Kumerow,WR,30,6,0,10.4,,KumeJa00
Mike Strachan,WR,25,13,0,8.9,,StraMi03
Trent Taylor,WR,28,16,2,11.7,,TaylTr02
Deven Thompkins,WR,23,5,1,10.8,,ThomDe07
Mike Thomas,WR,28,10,0,7.8,,ThomMi04
Nick Vannett,TE,29,9,0,11.5,,VannNi00
Trayveon Williams,RB,25,8,0,8.0,,WillTr06
Andre Baccellia,WR,25,8,0,11.5,,BaccAn00
Spencer Brown,RB,24,2,0,7.3,,BrowSp01
Julius Chestnut,RB,22,6,0,8.3,,ChesJu00
Chris Conley,WR,30,9,0,8.6,,ConlCh00
Blaine Gabbert,QB,33,1,0,5.2,,GabbBl00
Myles Gaskin,RB,25,4,0,9.4,,GaskMy00
